Symptoms,Frequency
pain upper back area,1
stable coronary atherosclerosis,1
partial paralysis,1
"muscle control issues left eye left thumb , brain fog",1
difficulty concentrating balance coordination issues,1
muscle control issues,1
ablation resolution symptoms,1
second dose tachycardia,1
swelling hands feet,1
itching sensation around injection site,1
difficulty short-term memory,1
difficulty basic cognition,1
itching scalp,1
"chest , back arms",1
redness scratch marks,1
difficulty breathing itching throat,1
face lips tongue throat,1
home itching,1
plunger depressed,1
bad back pain,1
heavy chest discomfort,1
reproducible exertion,1
cough sputum,1
nose bleeding,1
dry cracked,1
vertigo vomiting,1
severe night unable get bed,1
dehydration nausea,1
thrashing,1
congestive running nose,1
strange feeling throat,1
different headaches,1
severe bout vertigo,1
crawling,1
vertigo headaches,1
equilibrium issues,1
numbness feet legs times,1
follicular lymphoma,1
mucinous adenocarcinoma,1
two cancers,1
hyoid tumor lung cancer,1
chronic bilateral temporal headache,1
new covid infection,1
bilateral tinnitus,1
worsening left arm hand paresthesia,1
left adverse reactions,1
bad pain right leg,1
aic increased,1
blurry dry,1
concerned symptoms,1
eye redness,1
original seizure july/2021,1
3 seizures,1
focal seizure,1
patient transfusion dependent beta thalassemia,1
warm autoantibody,1
acute drop hemoglobin,1
elevated markers hemolysis,1
viral pathogens,1
low level hemolysis,1
hemolytic rate,1
headaches top eyes cranium,1
severe swelling upper arm,1
immobilizing arm neck pain,1
nasal drip scratchy throat,1
body aches night sweats,1
hoarse,1
minor fatigued body aches,1
cough tickle upper airways,1
sharp stabbing pain,1
chest slight shortness breath,1
monitoring symptoms,1
immediate medical attention symptoms,1
cognitive function forgetfulness,1
acute resp failure hypoxia,1
significant esrd hd,1
well change taste smell,1
pulmonary embolism heart strain,1
vaccine muscle aches,1
congestion diarrhea,1
fatigue lost appetite,1
unusual blood clots period,1
tingle left hand,1
tia mini stroke,1
eliquis pulmonary embolism,1
left arm sore chest pains,1
muscle aches fatigue,1
cough night sweats,1
bad change bed cloths,1
little fatigued,1
pain arms neck,1
acute infarct right thalamus,1
tinnitus hearing loss sudden onset,1
delayed autoimmune process vaccine,1
tinnitus migraine,1
tingling sensation left side face,1
acute chronic hypercapnic respiratory failure,1
consciousness two convulsions,1
rash complete body,1
painful itchy,1
failure comply,1
itchy face swollen tongue,1
tender sore,1
change voice,1
extremely strong pain,1
abundant blood around 14 clots,1
menstruation days pain,1
strong pain menstruation,1
guttate psoriasis,1
flaring symptoms,1
underlying autoimmune disease,1
rashes joint pains,1
lupus ra,1
long lived symptoms,1
new onset disease,1
disease process,1
disease autoimmune condition,1
significant hypothyroidism,1
"red spots chest , arms , legs , back",1
"flaring hands , feet",1
feet pain,1
tips fingers hurt,1
prp,1
eczematous process,1
dermatologist rash,1
"rash face , trunk , extremities",1
dryer sheets irritating,1
skin atrophy,1
striae,1
telangectasias tachyphylaxis,1
syncopal event,1
extremely lightly deal cramping,1
bleeding sex,1
intermittent spotting,1
bloating breast tenderness,1
bloating outrageous ( entire uterus lower belly,1
irregularity issues,1
major life events,1
raised bumps,1
many bumps cluster forms clusters,1
several bumps,1
end rash/hive,1
large raised bumps,1
break skin,1
allergic response,1
signs anaphylaxis,1
rash/hive bumps,1
allergy skin reaction,1
lack connecting rash,1
covered rash,1
rash cluster,1
body fighting hard allergic response,1
certain rashes,1
rashes/hives,1
anything different second rash,1
lymph nodes swelling tenderness,1
raised vaccination site,1
constant fever,1
1/12 numbness tingling arm home remedies,1
cold hands feet,1
sudden low blood sugar spells,1
diabetic diagnosed functional hypoglycemia,1
extreme fatigue huge flare cfs/me,1
kind flare,1
"blood clot developed right arm , shoulder , elbow",1
march finger irritated,1
foot drop right feet,1
gums throbbing,1
whole sinus congested,1
ears plugged throat,1
sinus pressure pain,1
teeth cheeks eyes hurt,1
tired coughing sinus headache pain,1
zero energy lethargic,1
congested sinus pressure pain,1
sinus infection based symptoms,1
turning uri walking pneumonia,1
blisters mouth fatigue,1
pulmonary emboli right lung,1
swollen raised red bump injection site,1
2 inches diameter slightly warm sore touch,1
shoulder neck pain,1
night fever,1
iugr reversal diastolic flow,1
crohn abdominal pain,1
occasional oxygen desaturations,1
continued nagging shoulder pain,1
parsonage-turner syndrome right upper extremity,1
blood going back throat sat right nostril bleeding,1
constant flow lean,1
nosebleed,1
nose irritation,1
uncontrollable shivering cold course,1
sinus infection broncitis,1
strong headache,1
tingling numb,1
lump throat,1
erratic,1
feeling faint nauseous,1
hives neck torso arms arms,1
osteomyelitis lumbar spine,1
slight fever sore arm,1
severe menstrual bleeding,1
clots size grapefruits,1
history fibroids,1
uterine problems,1
complete clots,1
significant bleeding,1
md pneumonia,1
copd pe,1
chronic steroids copd baseline,1
scattered bilateral reticular groundglass opacities,1
bronchial wall thickening,1
scattered mucus plugging lung bases,1
significant changes,1
self-proning able symptoms,1
improved cough,1
acute chronic respiratory failure hypoxia,1
acute worsening,1
multifactorial covid-19 infection,1
splinting,1
pain t7 fracture,1
acute covid-19 infection,1
apixaban pulmonary embolism,1
sever headache,1
numbness weakness extremities,1
persistent throbing headache,1
overall weakness,1
inability stand,1
sore throat mild cough fatigue,1
quarantined fever,1
atrial fibrillation several `` heart events,1
specifics heart events,1
acute leukemia,1
worsening heart failure oxygen requirements,1
second shot symptoms,1
two blood clots,1
golf-ball sized mass left axilla,1
swollen/painful underarm injection arm,1
underarm swelling,1
pain fatigue,1
entire body twitching,1
right leg tremoring twitching,1
video twitching,1
hit head end cap,1
abnormal menstrual,1
widespread hives,1
underwater months sharp pain,1
decongestant,1
heavy menstrual periods,1
severe fatigue severe swelling redness,1
increased warmth right arm injection site,1
pulsing ears unable sleep,1
constant sound/feeling,1
hives inside elbows neck,1
heat stress,1
stressed,1
hardly fever fatigue,1
soreness injection site fever,1
swelling pain injection site,1
much fatigue normally condition,1
lot brain fog trouble articulating,1
sore throat congestion,1
epstein barr virus,1
eight months fatigue,1
ebv symptoms fatigue control,1
lipoma,1
2 lipoma,1
three lipoma,1
pneumonia acute copd exacerbation,1
liver nodule,1
uncontrollable crying,1
immediate chest pain,1
consistent prevalent shortness breath,1
light-headed ness,1
irregular chest pain short intervals,1
muscular/joint pain,1
chills pain,1
new tinnitus/both ears,1
pulsatine tinnitus,1
significant knot arm injection site,1
sever soreness arm,1
tiny amount vaccine,1
amenorrhea,1
changes discomfort,1
severe rlq abdominal pain,1
spread infection,1
heart racing hand numb,1
redness nausea,1
diarrhea uncontrolled shaking,1
pain left lower abdomen small area severely affected sleep night,1
small amount rashes,1
red blisters,1
small blistered,1
medicine symptom,1
better less pain,1
pain side,1
much less severe rashes,1
"shrimp ( itchiness , hot feet )",1
beef ( nausea ),1
anxiety level,1
bp increases anxiety,1
anxiety low,1
worsening migraines,1
weak unsteady feet,1
flushed tremulous,1
ongoing nausea vomiting,1
severe bruising around shot site,1
post-menopausal,1
bright red bleeding,1
"severe , constant sinus headache middle forehead",1
brain fog blurred vision,1
instances severe vertigo,1
moderate throat swelling,1
several large lymph nodes,1
vasculitis,1
increase neuropathy symptoms,1
stabbing sensations weakness,1
difficulty lifting left foot,1
zero indicators inflammation,1
diarrhea lot blood,1
curled fetal position,1
shaking abdominal pain,1
flare-up,1
another condition,1
large abscess near anus,1
incredibly painful pain radiated whole pelvic area,1
serious simply needed heal,1
chest abdominal pain ( left rib cage ),1
diagnosed costochondritis,1
left leg pains,1
events illness,1
flushed,1
redness neck,1
deep breath elevated heartrate,1
mild activity ),1
severe foot pain,1
runny nose day swelling,1
occurring symptoms,1
heart palpations,1
shortness breath fatigue,1
l lateral chest wall pain,1
palpation swelling,1
swelling axilla l deltoid site injection,1
pt anxious nervous needles syncopal episode vaccination,1
recollection fainting,1
"able walk , shoulders , neck spine still weak",1
dislocated shoulder,1
sudden hearing loss left ear,1
hematospermia changes semen characteristics,1
pain prostate increased pressure groin,1
blood cells bacteria,1
blood pain,1
minor prostate swelling,1
diminish symptoms,1
continual symptoms,1
prior two episodes,1
blood changes semen characteristics,1
sudden change,1
acute stomach pains,1
puffy eyelids,1
broken itchy hives entire body,1
large red plaque like patch,1
"sudden , severe vomiting",1
morning second vaccine lymph nodes swollen,1
hand ( fingers ) swollen,1
hard bend fingers hurt,1
pain joints ta went fingers knees ankles toes,1
many different types arthritis creams pain,1
muscle rubs,1
body rash back,1
slight red ear major,1
breast/armpit tenderness,1
moderate side effect,1
left underarm lymph swelling,1
pfizer bud extension,1
chronic spontaneous urticaria,1
severe pain left upper bicep arm,1
narrowing,1
blockages,1
side lymph nodes swelling,1
outcome lethargic,1
left eye symptoms,1
swelling went collar bone,1
swelling face & throat,1
side face,1
fatigue big time,1
asthmatic ( asthmatic,1
bone swelling,1
fatigue ( fatigue big time ),1
arthralgia ( joint pain,1
nausea ( nausea ),1
pyrexia ( fever ),1
asthenia ( weakness ),1
myalgia ( muscle pain,1
pyrexia ( fever ) outcome unknown,1
pituitary addinson s disease,1
heart rate irregular ( non-serious ) onset,1
red bumps forearms/both forearms,1
bumps inflamed,1
injection site redness/hardness,1
red bumps forearms,1
redness/hardness,1
red pumps forearms,1
injection site redness,1
hardness,1
local side effects,1
redness injection site swelling,1
mild-to-moderate severity,1
type 2 diabetic ``,1
left breast mild,1
left breast mild ``,1
clamminess,1
tenderness left arm,1
patient low grade fever,1
severe nerve pain,1
small fibre neuropathy ( non-serious ),1
patient severe nerve pain,1
nerve muscle pain,1
severe flu-like symptoms,1
hurting started reflux,1
ringing real loud,1
muscle spasm stomach,1
stomach discomfort,1
reflux/stomach issues,1
bad indigestion,1
reflux/ bad indigestion,1
reflux,1
severe flu-like symptoms ``,1
hurting started reflux ``,1
product leakage ( non-serious ) onset,1
cold/allergies,1
hypersensitivity ( non-serious ) onset,1
sore throat fever,1
individuals vaccinated,1
low platelet count,1
low platelet count ``,1
soreness little bit,1
freezing,1
skin hot,1
body ached/ head,1
"head , arm , body aches",1
iga nephropathy,1
spot,1
whole body rash itching,1
pulmonary mass,1
severe headaches ``,1
steroid injection chills,1
touch skin sweats,1
migraine medication sever headaches,1
steroid advair chest pain,1
sugar spike,1
kidney ( stage 3,1
kidney ( stage 3 ),1
spike,1
serious condition,1
left knee blew like tons fluid,1
nephrolithiasis ( medically significant ),1
joint effusion,1
blood urine patient infection,1
injury lower leg,1
injury ( non-serious ) onset jul2021,1
serious adverse event,1
patient hospitalized illness,1
constantly dizzy,1
patient heartburn stomach pain,1
uncomfortable chest,1
high anxiety ``,1
result death,1
incapacitating congenital anomaly,1
light anxiety,1
arthritis x-ray,1
lot pain back/soreness back,1
lot pain back/soreness,1
lot pain back,1
rid soreness back,1
pain soreness,1
"irregular heart beat ( 4 beats , one skip , 4 beats , one skip )",1
irregular heart beat ( 4 beats,1
skip beats,1
muscle issues,1
whole body joint pain,1
turned flare,1
iron deficiency,1
blowing lumbar disks,1
intervertebral disc protrusion,1
fatigue turned flare,1
iron deficiency sinus infection,1
"l3 , l5 , si joint right side fused",1
flare ups iron deficiency,1
blowing lumbar disks onset,1
onset muscle issues,1
events back injury,1
back injury/blowing lumbar disks,1
arthralgia fatigue,1
`` insomnia ``,1
vtach,1
cardiac arrhythmias,1
autonomic nervous system imbalance,1
teratoma growth ovary,1
slight tightness throat,1
slight tightness chest upon breathing,1
cipro allergy,1
ovarian germ cell cancer,1
teratoma ( non-serious ),1
rapid heart rate ``,1
teratoma,1
rapid heart rate slight tightness chest upon breathing,1
intermittent fever,1
egg sized area swelling,1
right axillary area tenderness,1
lack energy,1
cold sweat ( non-serious ),1
abnormal dreams ( non-serious ),1
shiver,1
sickish,1
difficulties medications,1
"muscle , body pain",1
wobbly weak,1
pain back head,1
unable walk legs,1
pain back head along fullness,1
arm complete sore puffy,1
little swollenness,1
extreme tremors,1
bones body aching,1
stiffness muscles,1
musculoskeletal stiffness ( non-serious ) onset mar2021,1
eye pain ( non-serious ) onset mar2021,1
ulcers mouth,1
numbness left arm,1
radiated left leg,1
intense pain breasts,1
heavy sore arm,1
wide awake,1
reflux ``,1
bronchiectasis ``,1
hypogammaglobulinemia ``,1
bp irregularity ``,1
`` calcification around vessel heart ``,1
mouth ulceration,1
ophthalmic migraine ( non-serious ) onset,1
risk reaction,1
viral conjunctivitis,1
guillain barre swine flu virus,1
immediate reaction,1
told flu settled spinal cord,1
dehydrated/dehydration,1
thirsty,1
thirst ( non-serious ) onset mar2021,1
body temperature abnormal,1
"feeling run , arm hurts",1
dry mouth insomnia,1
still warm touch,1
site sore,1
rigid warm,1
lymph nodes behind jaw,1
long side effect swollen lymph nodes,1
mild arm soreness,1
tingling nerves left side neck,1
malignant hyperthermia,1
muscle aches arms legs,1
chest ( throat ),1
odour abnormal,1
illness ( non-serious ),1
patient pains,1
discomfort buttock,1
pelvic discomfort ( non-serious ),1
big headache,1
little nervousness,1
chronic depression,1
slight headache little nervousness,1
soreness arm ``,1
general muscle soreness,1
minor injection arm soreness,1
gout ``,1
allegra allergy,1
little bit swollen,1
swollen arm ``,1
low dizzy,1
full problems,1
eosinophilia ``,1
eosinophilia,1
soreness injection site arm,1
feeling pain left side,1
arm [ ] got shot ``,1
second shot middle night severe pains left arm area near lipoma,1
severe pains left arm area near lipoma,1
hard painful,1
swollen lymph nodes neck jaw,1
cyst brain,1
cerebral cyst,1
red raised rash injection site,1
moderate left arm pain,1
mild left arm swelling,1
moderate fatigue ``,1
tingling sense like needles hands feet,1
`` vascular disease,1
vascular disease,1
losing blood flow legs,1
movement disorder ( non-serious ) onset mar2021,1
chills ( non-serious ) onset mar2021,1
lot pain left arm,1
lot pain left arm ``,1
trouble concentrating,1
pins needles burning,1
numbness tingling prominent left side body,1
anxiety reaction,1
"break severe hives head , torso , extremities , bottom feet",1
continued hives,1
low level persistent headache,1
increased pressure forehead area,1
eye twitching headaches,1
patient s condition,1
increased thoughts suicide,1
cdt,1
chronic kidney dx,1
mrsa bacteremia,1
enterobacter uti,1
cough diarrhea,1
right base opacities,1
bilat pleural effusions,1
bleeding irregular timing/frequency quantity,1
worsening c/o weakness,1
mylagias,1
cxr diffuse infiltrates,1
pna/aki,1
dense burning `` left side neck,1
gabapentin nerve pain,1
grover s disease booster,1
burning neck ear,1
previous nerve damage neck booster,1
diabetes chronic right foot ulcer,1
dysuria.patient hypomagnesemia,1
patient warmth erythema left lower leg,1
ulcer dorsal aspect,1
severe arm pain ribs breast,1
bedbound,1
altered mental status hypoxemia,1
rapidly multiorgan failure,1
o2 demands,1
continual headache pressure head,1
neck pain muscles,1
hospitalization dehydration,1
respiratory compromise,1
immunocompromised status,1
pituitary dz,1
thyroid dz,1
brain tumor,1
covid symptoms ams,1
cxr acute infiltrates,1
visual cues intensified symptoms,1
nerve pain ( finger tips toes,1
mucus,1
stomach cramping,1
swollen underarm lymph nodes,1
pain kidneys,1
low grade temps,1
slight rhinorrhea,1
cxr-patchy vague bilat opacities,1
pain left testical,1
born vitiligo right leg,1
septic shock bacterial co-infection,1
reoccurring reactions area,1
weak fever,1
iron problems,1
break bleeding,1
prone sinus infections,1
sinus infection symptoms,1
cough chest discomfort,1
fever congestion,1
still chest discomfort,1
exacerbated symptoms,1
sharp throbbing pains legs,1
"areas body ( throbbing pains wrists , ankles , lower back ) scary",1
random throbbing pains,1
injuries,1
swollen gland left side neck,1
headache loss taste smell,1
heavy bleeding menstrual cycle,1
4 4 centimeter bump forehead,1
bumped head anything,1
evidence bump,1
redness bruising,1
tenderness bump,1
fever complaints,1
sweating front torso,1
warm dull headache behind eyes top head,1
many symptoms,1
variant infection natural viral antibodies,1
natural viral antibodies,1
severe fatigue muscle aches,1
fever mild congestion,1
contunual mild non productive cough,1
redness itchiness,1
"chest , back , arms",1
hives itchy,1
sinus migrane,1
worse headache,1
ascending weakness numbness,1
significant decline ability walk,1
-coughing,1
sinus congestion drainage,1
high blood pressure heart racing,1
pounding,1
high bg,1
problem effects,1
intermittent fasting effect,1
loss muscular strength,1
inability open eyelids,1
new onset right sided convulsions,1
glucose elevated,1
daily dizziness,1
right sided numbness,1
transient right sided weakness,1
right hand arm discoloration,1
red purple,1
slow mental processing,1
4 seizures,1
right sided paresis,1
sort stimulation trigger seizure post-ictal state,1
gum sensitivity edema mucosa tongue,1
"rash body- head , face , arms , legs , back",1
upper lip swollen,1
extra sensitive swollen,1
tongue swollen,1
multiple oral mucosal sores,1
painful swallow,1
diffuse continued swollen tongue,1
thrush tongue,1
fast heart rate fever,1
temporary ocular muscle paralysis,1
cxr bilat perihilar bibasilar patchy interstitial airspace opacities,1
severe pain legs hips,1
extreme pain right ear,1
injection site sore armpit sore,1
lot swelling redness,1
redness spreading chest back armpit,1
area hot swollen uncomfortable,1
watching spreading swelling,1
vaccination redness swelling,1
cloudy thinking,1
spot neck jaw line left side,1
spot neck,1
spot neck super itchy throat scratchy,1
new grandchild headache,1
moderate facial swelling,1
hearing loss right ear,1
blurred vision right eye,1
blurred,1
"hearing loss , right side",1
tremors neck right arm,1
alzheimer s dementia,1
decreased oral intake,1
staph lugdunensis,1
multiple symptoms,1
distinct targetoid lesion tongue,1
concentric bright red annular rings,1
non painful,1
lll pneumonia,1
geographic tongue,1
sob heart rate,1
hives/rash shoulders,1
sore arm arm pit swollen,1
arm pit,1
still rash,1
dark emesis,1
two emesis,1
trivial pericardial effusion,1
vaccine-induced pericarditis,1
right upper arm redness,1
right axillary swelling,1
loss stability feet,1
extreme shift menstrual cycle,1
minimal day pain,1
pain entire duration cycle,1
along week pain,1
"sensory , cramping",1
pressure head ears,1
major adverse event,1
symptoms heart attack,1
/vomitting,1
left arm shoulder pain,1
brain fog feeling chilled sweating,1
rather tachycardia,1
"rash , upper torso , neck chest",1
swollen tightening throat inflammation face extremities,1
worsening dyspnea exertion,1
fairly extensive patchy groundglass infiltrates throughout lungs,1
slowly oxygen needs,1
viral infection hyponatremia,1
mild thrombocytosis,1
rash left arm mom,1
eczema rash,1
reddened bumpy patches arm,1
patches bumps swollen,1
sleepiness fever,1
high bp low bp tachycardia,1
ear ringing faint fatigue,1
swelling lymph nodes neck,1
lichenplanus reaction,1
extreme pressure ears,1
slightly difficult swallow,1
hospital dizziness,1
severe shooting pain left arm leg,1
intense shooting pain,1
tightness ear pressure,1
abnormal heart beats,1
massive hemorrhaging subsequent menstruation,1
massive hemorrhaging,1
clammy warm,1
eyesight blurry,1
flushed stomach pain.facial color pallor,1
swollen l armpit area,1
tender l elbow joint,1
congestive cough,1
bad cold,1
progressive intermittent right eye blindness,1
bilateral ophthalmic arteritis optic nerve constriction,1
left wrist persistent wrist pain,1
symptoms sore throat,1
body aches congestion,1
continued congestion sore throat,1
strong nausea,1
joint muscle pain entire body,1
arf,1
nasal ear pain,1
multi system organ failure,1
spontaneous abortion,1
pregnancy/miscarriage,1
days bleeding/spotting,1
1 prior pregnancy 2018 complications,1
large saddle pulmonary embolism,1
right heart strain hypoxia,1
sleep pain severe,1
acute pericarditis,1
unspecified type single subsegmental pulmonary embolism,1
acute cor pulmonale medications,1
dull radiating pain behind eyes,1
bad body aches legs excruciating pain,1
similar sciatica,1
deep cough,1
rash palm hand went way elbow,1
hodgkin s lymphoma,1
lymphadenopathy l mediastinum l supraclavicular areas,1
vaccine chest pain,1
mild substernal/epigastric pain,1
still pale/yellow,1
pale/yellow,1
skin cold clammy,1
similar syncopal episode,1
facial hives,1
associated general rash,1
"respiratory , cardiovascular gastrointestinal symptoms",1
history reaction,1
immediate-type hypersensitivity reaction,1
hives legs,1
numb veins,1
hot cold blood flow right arm,1
increasing pain injection site,1
nonbloody diarrhea,1
progressive worsening confusion,1
aches pain,1
patient active complaints,1
tachycardia ambulation,1
pmdd ( premenstrual dysphoric disorder,1
burning left chest,1
rbbb,1
previous echos file,1
ongoing chest pain,1
mild lvh lvef,1
mild episodes chest pain,1
significant tachycardia,1
low d-dimer,1
low likelihood pericarditis,1
covid-19 infection -vaccinated,1
urti symptoms,1
-msk,1
pleuritic setting,1
2/2 covid-19 infection,1
low suspicion pe -tele,1
acute onset l chest wall pain,1
mild sinus tachycardia,1
ekg rbbb,1
change chest wall pain,1
minimal cough,1
l chest wall ttp,1
acute fatigue,1
muscle aches/pains,1
/diarrhea,1
increasingly fatigued,1
worse muscle pain stiffness,1
auto-immune disease pmr,1
affected immune system,1
extreme depression,1
paresthesias,1
continued worsening decline health,1
active hospital problems,1
covid-19,1
posttraumatic brain injury seizure disorder,1
quadriplegia,1
chronic tracheostomy,1
frontal lobe encephalomalacia,1
bacterial pneumonia cva,1
fever blister,1
cold sore type lesion upper lip,1
cold sores,1
burning tingling sensations,1
heart pains,1
heart feels,1
urticarial/hives,1
urticaria allergies,1
urgency urination,1
red swelling,1
sinus congestive,1
slight sob,1
facial color changes sob,1
hand fingers numbing,1
slightly dizzy vaccinator emt,1
difficulty swallowing difficulty breathing,1
generalized anxiety disorder,1
indigestion left sided chest pain,1
acute cerebellar hemorrhage,1
cerebellar hemorrhage compression brainstem,1
labile,1
initial rhythm pea,1
massive pe,1
respiratory arrest,1
immediate preceding shortness breath,1
signs ischemia,1
patient 2nd cardiac arrest,1
cerebellar hemorrhage,1
instability,1
extremely labile,1
witnessed respiratory arrest pea,1
ascending aortic aneurysm,1
risk falls,1
methicillin susceptible staphylococcus aureus,1
bph ( benign prostatic hyperplasia,1
calcific aortic stenosis bicuspid valve,1
diastolic heart failure,1
left ventricular hypertrophy,1
brain cancer,1
infection status,1
pain injection sight,1
severe sinus,1
decreasing,1
moderate tinnitus,1
anaphylactic,1
a. fib rvr,1
projectile vomit,1
high fever vomit,1
cellulitis osteomyelitis right foot,1
recent gi bleed,1
massive gi bleed,1
hbp,1
blood pressure afib,1
"rash thighs , legs , knee",1
bipolar anxiety,1
perforated bowel,1
pt persistent cough,1
exposure,1
painful swelling,1
panic attacks,1
severe pitting edema swelling bilateral lower extremities,1
rectal hemorrhage,1
altered mental status unresponsiveness,1
-acute metabolic toxic encephalopath-urine drug screen,1
viral covid-19 pneumonia positive,1
acute hypoxic hypercapnic respiratory failure,1
irregular skipped heart beats,1
clot fistula,1
recent positive test covid,1
fistula,1
pulseless unresponsive,1
sdt,1
extra adverse effects,1
light headness,1
rash left arm injection site,1
similar anaphylactic reaction,1
mild rash,1
collar bone,1
upper back,1
flushing cheeks,1
airway compromise,1
35 minutes symptoms,1
mild rash upper arm,1
site flushing cheeks,1
resolution symptoms site,1
allergic foods,1
bilateral flank pain,1
acute sob/ams,1
cta-ground glass opacities bilat,1
along left calf pain,1
little dizziness morning spins,1
little phlegm,1
sore throat one side,1
little cough chest,1
sneezing blowing nose,1
little body aches,1
occasional dizziness strange,1
still sinus congestion,1
clots urine,1
heavier bleed,1
prior two vaccinations spotted,1
heavy menstrual bleed clots,1
epigastric discomfort,1
difficulty breathing heart,1
multiple events,1
heart issues maternal side,1
break episodes,1
stress reaction,1
dehydration arrhythmia episodes,1
history heart issues,1
"bit fever mild , bad cough",1
vomiting cough,1
patient leukocytosis,1
bilateral patchy infiltrates mild pulmonary vascular congestion,1
patient s oxygen requirements,1
chronic congestive heart failure,1
diffuse parenchymal disease,1
worsening condition,1
period pain,1
worst abdominal pain,1
worse food poisoning,1
pain cramping,1
severe headache nausea,1
hair thinning/receding/loss head,1
previous fracture,1
full body rash itchy,1
cervical spondylosis myelopathy,1
central cord syndrome c3 level cervical spinal cord,1
atherosclerotic heart disease,1
angina pectoris,1
essential ( primary ) hypertension,1
mitral valve insufficiency,1
mixed dyslipidemia,1
statin intolerance,1
transient cerebral ischemic attack,1
poor oral intake,1
resolution pneumonia,1
decreased bilateral breath sounds,1
acute hypoxemic respiratory insufficiency,1
bilateral pneumonia,1
dvt px,1
deep breathing,1
secondary viral infection,1
significant head trauma loc,1
worsened poor oral intake,1
intermittent lightheadedness,1
wet spot bathroom,1
incontinence,1
jerking confusion,1
patient s hypoxia,1
appetite change fatigue,1
weight change,1
sneezing hoarse voice,1
wheezing sputum production,1
dysuria urgency,1
joint swelling muscle pain,1
positive dizziness,1
light-headedness weakness,1
tenderness ( calf ttp,1
asymmetric motor weakness,1
brain swelling,1
heart feeling,1
left hydronephrotic,1
severe right leg pain,1
movement disorders,1
muscle spasms time blue,1
meds allergies,1
rash body body,1
adverse effects result,1
syncope collapse syncope,1
syncope collapse,1
orthostatic blood pressure drop,1
head congestion nasal drainage,1
head congestion,1
significant respiratory symptoms,1
orthostatics symptoms,1
mucosal thickening,1
sinus congestion symptoms,1
patient previous multidisciplinary chest mass,1
patient body aches,1
significant leg swelling inflammation,1
superficial thrombophlebitis,1
101 fever,1
lymph node swollen left armpit,1
longer symptoms,1
terrible brain fog,1
pain nausea ),1
another reaction,1
joint pain hip knees,1
severely limping july,1
burning left hip itchiness injection site,1
lue numbness,1
numb weak,1
severe dd c5-c6 moderate canal stenosis small area myelitis,1
pt symptoms,1
still weak left ue lle,1
previously hypertension,1
nasal sinus congestion,1
respiratory extremis,1
acute renal disease,1
positive covid,1
several weeks rash,1
diffuse rash,1
"back neck , beltline , r upper back , inner thigh",1
systemic symptoms,1
lesions neck,1
decreased renal function,1
multi-focal pneumonia,1
mucus plugging,1
patient laid elevated feet,1
signs aspiration,1
feeling less lightheaded,1
inflammation right side lymph node,1
tylenol sinusitis,1
diminished hearing,1
especially right ear,1
otitis media,1
unable eat,1
polyps,1
severe vomiting diarrhea,1
severe anxiety panic attacks,1
noticeable anxiety panic attacks,1
anxiety panic attacks,1
edge anxiety,1
pain hand top middle finger burned,1
"burning feet , numbness legs",1
pain weakness hands,1
severe tinnitus ears,1
high pitch frequency,1
fatigue arm pain,1
significant hyperlipidemia,1
covid pna,1
sxs onset,1
diabetes ccm,1
client allergy dye contrast,1
overdosing,1
client agitated,1
extremely painful heavy menstrual cycles,1
stabbing chest pains behind sternum,1
radiating pain sides abdomen,1
sweaty clammy,1
discomfort deep breaths,1
discomfort left calf,1
left anterior uveitis,1
eye redness/ciliary flush,1
minimal pain/pruritis,1
mild maternal tachycardia,1
fetal tachycardia,1
reassuring fetal status,1
reactive nst,1
leaking fluid,1
regular contractions,1
gravid,1
itching tongue throat,1
itching tongue,1
slight itching throat,1
difficulty breathing worsening symptoms,1
home ongoing symptoms,1
/aches,1
left arm numbness,1
left side face numbness,1
left side head numbness,1
left side neck numbness,1
left arm pit swelling,1
patient daily migraine headaches,1
previous headaches week tension type,1
blood clots lungs,1
spontaneous urticaria,1
ranging small patch skin arm/leg,1
swollen lips face,1
breaking rash ankle,1
ankle rash,1
still constant red rash ankle,1
red itchy,1
"constant , high pitch ringing ears",1
child sore arm slight fever,1
louder disruptive,1
little bit dizzy little nauseous,1
speech slow slurred,1
minor flu like symptoms,1
decreased gfr,1
right lower dvt,1
sternal rub,1
couple hives,1
rash fussiness,1
pictures rash,1
viral rash,1
rash body swelling legs,1
chest nasal congestion,1
fatigue congestive,1
80 % symptoms,1
short breath chest pain,1
pain left-side rib cage near heart area,1
much pain swelling,1
swollen hard time breathing chest pain,1
half swelling,1
catch breath,1
two attacks day symptoms,1
respiratory rate fast wheezing,1
slew headaches,1
abdominal internal fever,1
random onset fast breathing,1
pleurisy lung pain,1
2 chest pain,1
normotension,1
elevated crp,1
significantly elevated troponin,1
covid vaccine-associated myocarditis,1
viral,1
mis-c systemic autoimmune disease,1
single episode unusually heavy irregular menses,1
itchiness eyes,1
trouble swallowing shortness breath,1
client high blood pressure arrhythmia,1
bells palsy left-side face,1
persistent fever chills,1
bilateral covid pneumonia,1
streptococcal pharyngitis,1
multiple antibiotic allergies,1
3am pain,1
little lightheaded nervous needles,1
nka,1
decreased sweating,1
mild fever fatigue,1
severe aortic stenosis,1
paroxysmal atrial fibrillation anticoagulation,1
chronic hematuria,1
bruising left elbow,1
large hematuria,1
oxygen less nauseated,1
opioids chronic pain,1
secondary aspiration pneumonia,1
recurrent left pulmonary effusions,1
pancreatic cancer,1
worsening aki,1
worsening leukocytosis,1
