Symptom,Frequency
previously hypertension,1
nasal sinus congestion,1
respiratory extremis,1
acute renal disease,1
several weeks rash,1
diffuse rash,1
"back neck , beltline , r upper back , inner thigh",1
systemic symptoms,1
lesions neck,1
decreased renal function,1
multi-focal pneumonia,1
mucus plugging,1
patient laid elevated feet,1
feeling less lightheaded,1
inflammation right side lymph node,1
tylenol sinusitis,1
diminished hearing,1
especially right ear,1
otitis media,1
unable eat,1
polyps,1
severe vomiting diarrhea,1
severe anxiety panic attacks,1
noticeable anxiety panic attacks,1
anxiety panic attacks,1
edge anxiety,1
pain hand top middle finger burned,1
"burning feet , numbness legs",1
pain weakness hands,1
severe tinnitus ears,1
high pitch frequency,1
fatigue arm pain,1
significant hyperlipidemia,1
covid pna,1
sxs onset,1
diabetes ccm,1
client allergy dye contrast,1
client agitated,1
extremely painful heavy menstrual cycles,1
stabbing chest pains behind sternum,1
radiating pain sides abdomen,1
sweaty clammy,1
discomfort deep breaths,1
discomfort left calf,1
left anterior uveitis,1
eye redness/ciliary flush,1
minimal pain/pruritis,1
mild maternal tachycardia,1
fetal tachycardia,1
reassuring fetal status,1
reactive nst,1
leaking fluid,1
regular contractions,1
gravid,1
itching tongue throat,1
itching tongue,1
slight itching throat,1
difficulty breathing worsening symptoms,1
home ongoing symptoms,1
/aches,1
left arm numbness,1
left side face numbness,1
left side head numbness,1
left side neck numbness,1
left arm pit swelling,1
patient daily migraine headaches,1
previous headaches week tension type,1
spontaneous urticaria,1
ranging small patch skin arm/leg,1
swollen lips face,1
breaking rash ankle,1
ankle rash,1
still constant red rash ankle,1
"constant , high pitch ringing ears",1
child sore arm slight fever,1
louder disruptive,1
little bit dizzy little nauseous,1
speech slow slurred,1
minor flu like symptoms,1
decreased gfr,1
right lower dvt,1
sternal rub,1
couple hives,1
rash fussiness,1
pictures rash,1
viral rash,1
rash body swelling legs,1
chest nasal congestion,1
fatigue congestive,1
80 % symptoms,1
short breath chest pain,1
pain left-side rib cage near heart area,1
much pain swelling,1
swollen hard time breathing chest pain,1
half swelling,1
catch breath,1
two attacks day symptoms,1
respiratory rate fast wheezing,1
slew headaches,1
abdominal internal fever,1
random onset fast breathing,1
pleurisy lung pain,1
2 chest pain,1
normotension,1
elevated crp,1
significantly elevated troponin,1
covid vaccine-associated myocarditis,1
viral,1
mis-c systemic autoimmune disease,1
single episode unusually heavy irregular menses,1
itchiness eyes,1
trouble swallowing shortness breath,1
client high blood pressure arrhythmia,1
bells palsy left-side face,1
persistent fever chills,1
streptococcal pharyngitis,1
multiple antibiotic allergies,1
3am pain,1
little lightheaded nervous needles,1
nka,1
decreased sweating,1
mild fever fatigue,1
severe aortic stenosis,1
paroxysmal atrial fibrillation anticoagulation,1
chronic hematuria,1
bruising left elbow,1
large hematuria,1
oxygen less nauseated,1
opioids chronic pain,1
secondary aspiration pneumonia,1
recurrent left pulmonary effusions,1
pancreatic cancer,1
worsening aki,1
worsening leukocytosis,1
positive yeast,1
right facial never palsy,1
pain redness,1
palpable swelling,1
hoarseness,1
overlying redness,1
left upper extremity deltoid area,1
overlying erythema,1
fluctuance,1
axillary lymphadenopathy,1
noninfectious inflammation,1
worsening covid-19 symptoms,1
diarrhea decreased appetite,1
generalized anxiety,1
marked interval increase bilateral pneumonia,1
relief symptoms,1
signs pulmonary emboli,1
tiny bilateral pleural effusions,1
left side throbbing,1
k active bleeding,1
hiccups,1
elevated amnonia levels,1
adenopathy,1
thyromegally,1
crackles/wheezes/rhonchi,1
jugular venous distention,1
extremity edema,1
positive right-sided tenderness palpation,1
mild distention,1
sensory deficit,1
nash cirrhosis,1
hepatic encephalopathy,1
significant ascites extremity edema,1
patient altered medication,1
spontaneous hives facial swelling,1
swelling left armpit painful,1
chronic colitis,1
unable tolerate foods,1
lactose intolerance,1
aphthous ulcers,1
girl exact symptoms,1
severe imbalance,1
severe cognitive ability- onset,1
vestibular equilibrium issues,1
harm,1
larger events,1
eyes tearing lot,1
muscle pains elbows,1
difficulty stretching arms,1
bumps muscle tissues,1
big red welts hives,1
left ear red,1
first general clonic tonic seizure,1
previous seizure history,1
sickness triggers,1
initially sore throat,1
right-sided lower abdominal pain,1
aggravating relieving factors,1
recent fall injury,1
non toxic,1
gross conjunctival injection,1
gallop rub,1
wheeze,1
resp distress,1
positive right lower quadrant tenderness,1
rebound,1
guard,1
pulmonary embolism groundglass opacities,1
quarantine symptoms,1
migraine sumatriptan cold cloths forehead,1
back pain neck issue,1
back issue neck pain,1
slight itchy,1
generalized feeling,1
right shoulder area pain,1
injection site redness tender,1
increased itching right deltoid increase soreness shoulder arm,1
band aid,1
raised rash,1
swelling hard irregular shaped knot,1
itching redness,1
continued fatigue,1
phn phn,1
hand cellulitis,1
respiratory infection,1
desaturating,1
acute pneumonia x-ray,1
cough leg,1
client shortness breath,1
mdhx epilepsy,1
narcolepsy complex,1
moderate convulsions whole body,1
loss pulse respirations,1
narcolepsy,1
recurrence s/s,1
cold rags back neck forehead,1
bad headache headache,1
shingles blisters,1
little fatigued nasal congestion,1
asthma illness,1
weak low energy,1
gout issue,1
high body temperature,1
extreme redness skin,1
mild sinus headache,1
allergy type symptoms,1
recurrent symptoms,1
postnasal drip nonproductive cough,1
positive hearing loss,1
chronic ),1
sinus pressure tinnitus,1
negative wound,1
syncope weakness,1
left arm redness swelling,1
fahrenheit,1
sever migraines,1
olfactory dysfunction,1
acute reaction,1
left mother obvious distress,1
rapid hr,1
fever joints jaw fingertips toes fire stinging,1
belly pains,1
fast heart rate well pounding heart,1
"addition symptoms , left arm , fingers , hand",1
flu cold symptoms,1
arm swollen baseball,1
extreme itching,1
sharp shooting pains joints,1
actually virus,1
"strike randomly different parts body feet , ankles , wrists , elbow , shoulder , hip , knees",1
types pains,1
dull persistent headache,1
terrible palpitations,1
tingling sensation left arm leg lack sensibility area,1
horrible abdominal pain front back,1
multiple ovarian cyst sides,1
multiple stabbing poking pain left side,1
shortness breath- sinus congestion-,1
intermittent severe burning pain hands along bones fingers joints,1
overall worsening arthritis symptoms knees back,1
weight gain insomnia,1
rapid onset insomnia,1
rapid weight gain,1
increased blood sugars,1
onset side effects immediate,1
tender lymphadenopathy left axilla,1
obvious reactions signs distress,1
right eye visual impairment,1
posterior pole vitreous detachment,1
vision right eye,1
right eye vision affected globally,1
numbness hands neck,1
pain lower back,1
"tingling left hip , pelvis left thigh",1
pelvis area ( left ingle ) left thigh,1
sharp objects coldness,1
weakness left thigh,1
well numbness tingling,1
norco pain,1
pain numbness,1
cold clammy touch,1
fever swollen injection site area,1
sudden loss hearing right ear,1
low frequency,1
sore l-arm,1
/headache/body aches,1
l-vision aura,1
l-vision aura l-ear congestion,1
strong cramps heavy bleeding,1
severe aches pains scale,1
bad fatigue,1
bad throbbing headache,1
extreme swelling soreness,1
extremely forceful heartbeat,1
elevation heart rate,1
parsonage-turner syndrome,1
severe mid underarm pain,1
swelling radiating left breast area tender,1
going left ride sided flank pain,1
antibiotic kidney infection,1
itchy shoulders vaccination arm,1
fine itching,1
thrombophlebitis,1
bad muscle pain,1
lines hives legs arms,1
breathe hives,1
hypovolemic shock,1
acute renal failure ckd stage ii,1
positive covid test result,1
calcific debris/small stones,1
distal left ureter hydronephrosis,1
respiratory covid symptoms,1
swollen eyelid area,1
hives around eyes,1
watering itchy eyes- eye problems,1
moderate mid left sternal pain,1
high tolerance pain,1
increase pain inspiration,1
acute hypoxemic respiratory failure sepsis,1
sick fever,1
body aches severe headaches,1
immunosuppresant mess,1
baseball size swollen painful lymph node,1
swollen ankles abdominal/stomach pain,1
left jaw pain,1
left neck pain,1
bp symptoms,1
unexplained vaginal bleeding,1
severe chills 60 hrs swelling lymph node armpit,1
swelling face upper body,1
vaccine severe cramping,1
dizzy light feet conscious,1
shoot symptoms,1
5 degree heart pain,1
encephalitis viral ( non-serious ),1
central nervous system infection,1
sluggish,1
patient elevated number,1
liver kidney failure,1
bone pain ( non-serious ),1
soreness shoulder neck bone,1
elevated numbers,1
benadryl allergy,1
pain extremity ( non-serious ) onset sep2021,1
patient numbness legs hurt,1
mild flare,1
current flare,1
2nd shot finger joint swelling locking,1
trigger finger ( non-serious ) onset,1
finger locking swelling fingers left hand,1
muscle fatigue ( non-serious ),1
fever muscle fatigue,1
tired symptoms,1
severe headache like migraine ``,1
migraine pfizer booster,1
patient chest pain,1
outcome sick,1
hurting energy,1
104 fever difficult treat,1
peripheral neuropathy ``,1
back neck ( hair line scalp hairline,1
"rash areas-left arm , chest , back neck",1
bone density abnormal,1
tinnitus ( non-serious ) onset,1
ringing ears nonstop,1
headaches shortly ear left side,1
right ear patient little bit ringing tiny bit,1
little bit tinnitus way back,1
patient 's brain blew,1
unsure 's reaction,1
injection site haemorrhage,1
bleeding thumb ``,1
bleeding thumb onset,1
needle stick injury injection site hemorrhage,1
slight light headed,1
spurred asymmetrical cortical thinning right hippocampus lobe birth oxygen depravation,1
spurred asymmetrical cortical thinning right hippocampus lobe,1
dry cough ``,1
burning sensation left side arm,1
arthritis inflammation,1
burring feeling left arm,1
norco,1
arthritis inflammation pain,1
waves vertigo/,1
hepatitis b ``,1
flu tired,1
fatigued sleepy,1
quick onset chills,1
really nauseous,1
vomiting tired,1
waves dizziness vertigo,1
chucking,1
high temperature blood oxygen fine,1
true vertigo,1
brushing teeth,1
typical flu type symptoms,1
immediate side effects,1
hitting blue dizziness,1
vertigo hits,1
knocking harder,1
slight case asthma,1
flu like `` symptoms,1
polydipsia,1
decreased urine output,1
dizziness arm painful,1
long headache chills,1
seriousness headache,1
musculoskeletal discomfort ( non-serious ) onset mar2021,1
something left side neck,1
oral pain ( non-serious ) onset mar2021,1
hypokinesia ( non-serious ) onset mar2021,1
switch advil pain,1
even soreness,1
wolff-parkinson-white syndrome,1
sometimes symptoms,1
loss taste covid 19 virus,1
medication pain,1
dead arm,1
lymphadenopathy ( non-serious ) onset,1
side effects hit,1
swelling irritation,1
antibiotics lyme disease,1
hardly sleep dry mouth,1
little soreness arm,1
still weird sensation,1
weaker,1
almost tingling,1
sensitive sensation,1
sensitive warm,1
warmth difference touch,1
patient 's arm swelled,1
bit pain,1
hurting,1
sore arm/her left arm,1
slight chills / cold chills,1
arm discomfort,1
product related pc,1
body aches pain,1
mild laying,1
cholesterol `` ( unspecified ongoing ),1
`` ( diabetes ),1
bites neck right side,1
red dots,1
bite ( non-serious ) onset mar2021,1
rash macular ( non-serious ) onset mar2021,1
discomfort arm,1
worse pain shoulder fingers,1
elbow swelled,1
bursitis arthritis,1
shoulder still problems,1
pain arms flu like symptoms,1
hard ; site red,1
vaccine pain,1
arthritis right hip,1
nauseous diarrhoea,1
acute local reaction,1
more tired,1
numbness right hand,1
lip disorder,1
limb discomfort ( non-serious ) onset mar2021,1
dysgraphia ( non-serious ) onset mar2021,1
ndc,1
headaches upset stomach,1
right leg chronic right foot pain,1
cannabis leg pain,1
pain severe,1
fatiquge,1
achy whole body like joints,1
eczema ( non-serious ),1
rumming noise ears,1
muscle spasm /muscle relaxer,1
bladder disorder,1
another medicine arthritis,1
medication spasms,1
querying adverse events vaccinations,1
pneumonia shots problems,1
oropharyngeal discomfort,1
delayed symptoms,1
kidneys hurting,1
renal pain ( non-serious ) onset mar2021,1
dangerous reportable side effect,1
ill effects,1
right calf muscle painful,1
pin prick sensations,1
high pain tolerance,1
patient lot anxiety,1
normally anxious,1
patient nauseated,1
limb discomfort ( non-serious ) onset,1
adverse events reactions,1
shooting pain neck elbow,1
shooting pain neck elbow stop,1
arm tender,1
erythema eyelid ( non-serious ),1
eyelids puffy,1
patient terrible headache,1
allergy cats rabbits ``,1
cough increased ``,1
patient really pain,1
continuous pain,1
patient mild soreness injection site,1
ears head feel full-,1
stuffy sinuses,1
hyperacusis ( non-serious ),1
stiffness kind headache,1
fullness sinuses,1
blister lung ``,1
front face nasal area,1
sore tylenol,1
blister lung,1
pain extremity ( non-serious ) onset 20feb2021,1
adenocarcinoma lung t3 involvement pericardium,1
n3 involvement mediastinum,1
m1b distant spread malignant pericardial effusion,1
stage iv,1
close obesity,1
patient rash injection site,1
pain extremity ( non-serious ) onset 28feb2021,1
codeine sensitive,1
patient body pain,1
lots sweat,1
little response sore arm,1
spot sore,1
sore throat symptom,1
throat really sore,1
high rise temperature,1
nasopharyngitis ( non-serious ) onset mar2021,1
body temperature increased ( non-serious ) onset mar2021,1
physical fatigue,1
physical mental fatigue,1
second third days fatigue,1
asymmetrical cortical thinning right aypocampus lobe,1
cortical dysplasia,1
minimal soreness arm ``,1
little arm soreness,1
25 pain shingrex,1
slight dizziness fatigue,1
mild twinge soreness arm ``,1
injection site arm pain,1
glands neck hard swollen,1
injection site swelling soreness,1
extreme pain arm covid vaccine,1
"pain go arm , neck",1
swollen nymph nodes,1
"swelling left arm , shoulder , neck ear lymph nodes",1
mild swelling right shoulder,1
heat fever,1
constant vomiting abdominal pain,1
fatigue headache,1
labs elevated troponin,1
swollen lymph nodes left arm armpit,1
pain left side chest,1
disassociation,1
unable focus vision,1
absolute emotional numbness,1
intense brain fog emotional/psychological shutdown,1
mental disorders,1
disassociation fatigue,1
spinal pain ( non-serious ) onset mar2021,1
significant persistent pain neck area,1
pain extremity ( disability ),1
loss strength,1
numbing tingling left arm ``,1
bell 's palsy ``,1
loss strength ``,1
brain `` zaps,1
severe adhesive allergy,1
first dose headache fatigue hrs,1
major tumor growth metastasis bone,1
neoplasm metastasis,1
skin peeling,1
swelling eyelid ( non-serious ),1
ocular hyperaemia ( non-serious ),1
patient hospitalized chest pain,1
head going explode,1
patient 102 fever aches,1
losing hair,1
alopecia ( non-serious ),1
single joint body pain,1
patients disease ( hair loss,1
s hair disease,1
hair disease lichen planopilaris,1
terrible reaction joint pain,1
resolving pain ( pain,1
unknown swelling,1
appropriate adverse reaction,1
unk pain ( pain,1
unk swelling ( swelling,1
pain ( pain,1
swelling ( swelling,1
rash swelling study,1
patient scarred scratching,1
medication prior event,1
caught coronavirus,1
caught virus,1
painful walk,1
"hot , cold",1
allergic lot things,1
palpitations ( non-serious ) onset sep2021,1
feeling body temperature change ( non-serious ) onset sep2021,1
heart rate irregular ( non-serious ) onset sep2021,1
heart rate increased ( non-serious ) onset sep2021,1
anxiety attack ``,1
suffocation,1
lung problems breathing problems heart conditions,1
patient sorry breathing problems,1
worse reaction,1
patient breathing problems,1
"patient hot , cold , irregular heart beat",1
asthma copd bronchitis,1
ankle legs,1
swelling leg doctor,1
ca n't legs swollen,1
progressive legs swollen,1
trouble reactions pfizer vaccine,1
drug reaction,1
seriousness events,1
lack drug effect,1
white blood cell count abnormal,1
side effect drug,1
white blood cell disorder,1
terrible adverse effect reaction,1
sputum abnormal,1
cramps bleeding,1
dysmenorrhea menstruation,1
graves disease remission,1
infection ( non-serious ) onset jul2021,1
sciatica ( non-serious ) onset jul2021,1
swelling ( non-serious ) onset jul2021,1
impaired healing ( non-serious ),1
pathogen resistance,1
sars-cov-2 infection vaccination,1
gadolinium contrast allergy,1
painful periods life,1
pills pain,1
issues weight,1
cpap sleep apnea,1
cellullitis,1
patient 's old sacroiliac hip injury sciatica,1
injection-inflammation,1
joint injury ( disability ),1
sacroiliac hip injury sciatica,1
almost 3 months pain brain fog third vaccine,1
intermenstrual bleeding ( disability ),1
menometrorrhagia ( disability ),1
menometrorrhagia,1
autism spectrum disorder,1
new onset seizure ``,1
patient hospitalized demyelination,1
demyelination seizure,1
svt ``,1
migraine `` ( unspecified ongoing ),1
lymphocytic vasculitis,1
skin biopsy blister rash,1
microfibril neuropathy mild ``,1
lymphocytic vasculitis skin biopsy blister rash,1
microfibril neuropathy,1
sharp pain l.,1
patient hospitalized blister,1
blister lesions 2 upper extremities distal neck small painful papular rash,1
small painful papular rash posterior scalp,1
heavy head vision issues,1
inability type,1
sharp pain l. lower extremity along weakness,1
blister lesions 2 upper extremities distal neck small painful papular rash posterior scalp,1
l. periorbital eye strain vision,1
blood clot rt pinky,1
bleed cut shaving/ blood still thick,1
low level asthma,1
hydromet cough syrup,1
bleed cut shaving/ blood still thick ``,1
pain dimished,1
nuts allergy,1
tested positive covid-19 virus,1
chest/breathing issues,1
lilac bright red spots,1
brief headache,1
measles,1
mumps,1
whole body went dead,1
feet hands,1
sick bad cold,1
scoliosis,1
small slight scoliosis n't affect,1
robitussin cold,1
mucinex cold,1
flu shot,1
colds pain legs,1
fever coughing,1
cough cold,1
feet tingling breathing,1
barre syndrome paralyzed mouth,1
patient 's body shutting disease,1
arthritis/ arthritis legs,1
arthritis legs,1
pain left leg,1
causality humira events,1
patient hospitalized myocardial injury,1
asymptomatic covid-19 ( medically significant ),1
medication anxiety adhd,1
respiratory illnesses,1
bad aches,1
blood clot upper left shoulder,1
patient cough congestion,1
count drop,1
sjogrens syndrome,1
rhinoplasty ``,1
type b diabetes ``,1
respiratory tract congestion ( non-serious ),1
sore throat menthol candies,1
symptomatic covid quarantine,1
real vaccine-related injuries,1
people heart complications,1
cardiac disorder ( non-serious ),1
heart complications,1
severe ``,1
cat allergy,1
known allergy-allergic shellfish,1
ichthyosis ``,1
sore throat chills,1
pain arm stuff,1
st mild sx,1
mild fatigue st mild sx,1
mild fatigue st mild sx ``,1
covid positive pcr/symptoms,1
little runny nose nasal congestion,1
developing eye problem,1
marginally high blood pressure ``,1
corneal erosion ( non-serious ) onset,1
epithelial layer cornea,1
eye difficulties,1
pain acute,1
tumour marker,1
prostatic specific antigen increased,1
elevated psa levels vaccination,1
painful bloody,1
aggressive prostate cancer,1
strong aches,1
loss hearing right ear,1
disease inner ear,1
pruritus ( non-serious ) onset sep2021,1
throat tightness ( non-serious ) onset sep2021,1
home throat,1
open throat,1
residual side effects,1
asthma allergies,1
mrna spike proteins,1
big bruise arm,1
big bruise arm ``,1
movement disorder contusion,1
swallowing issues,1
vaginal haemorrhage,1
head pressure ``,1
dysphagia ( non-serious ),1
head pressure swallowing issues,1
lesions kidneys,1
still ca n't breathe,1
renal disorder,1
major heart attack,1
s attacking joints,1
symptoms joints,1
`` cold sores,1
left body ache,1
axillary pain pain,1
wrestles anxiety,1
onset jan2022,1
patient minor body aches pains,1
overall weakness ),1
hepatic enzyme abnormal,1
feeling little tired,1
known medical issues,1
little mental fogginess little tired,1
patient hospitalized pulmonary embolism,1
right pulmonary infract going affect lungs,1
morphine pain,1
fever advil,1
mild ha cough,1
swelling peripheral swelling,1
patient breakthrough covid-19 infection least 5 symptoms,1
fatigues,1
postmenopause ``,1
musculoskeletal stiffness pyrexia,1
patient scratch injection site,1
mitral valve prolapse,1
mvp,1
painful respiration,1
chest pain painful respiration,1
reduced morning pain,1
lower pain intensity,1
noninfective encephalitis,1
visual impairment ( non-serious ) onset mar2021,1
elevated information,1
march vision disturbances,1
eye symptoms,1
brain inflammation,1
dizziness memory impairment,1
hordeolum ( non-serious ),1
hordeolum urinary tract infection,1
entire hand numb,1
loss strength arm,1
blue/blackish discoloration loss strength,1
heavy menstrual bleeding menstruation,1
breakthrough infection- positive antigen test,1
dizz/dizziness,1
nkda,1
significant pmh,1
painful swollen lump,1
axillary mass axillary pain,1
tender swelling,1
`` breakthrough covid-19 infection,1
extreme malaise,1
body soreness,1
alarming gross hematuria,1
microscopic levels hematuria proteinuria,1
neurology issues right side,1
"speech , hand , movement impairment",1
massive pain kidney area,1
acute inflamation artritis,1
cxr-pna,1
sick sinus syndrome,1
hypercalcemia,1
altered mental status hypercalcemia,1
swelling behind left knee,1
paf eliquis,1
ongoing falls,1
mainly weakness,1
residual weakness,1
prior cva,1
another stroke,1
cough stuffy,1
facial pressure,1
/chronic shf,1
prior nsvtach parox afib,1
worsening dementia,1
mildly elevated troponins,1
light confusion,1
cxr acute process,1
mild chronic interstitial changes ),1
encephalopathy,1
acute covid 19 viral infectoin ),1
small pain chest,1
head/muscle pain,1
post op infection,1
post op changes,1
addition gas fluid,1
incision site,1
"pain left arm , chest heart",1
tachicardia,1
lung ca,1
intracerebral hematoma,1
increasing sob cough,1
cxr upper lobe consolidation lower lobe atelectasis,1
elevated brain natriuretic peptide,1
acute chronic combined systolic diastolic congestive heart failure,1
chest uncomfortable,1
heavy uncomfortable,1
pressure low lower-side,1
b/l armpit swelling,1
l side neck tender,1
abnormal outpatient labs,1
additioanl symptoms,1
ascites,1
diastolic hf,1
pulm emboli,1
multifocal patchy groundglass infiltrates rll,1
left sided bell,1
thinning,1
temporary improvement symptoms,1
asthma chf,1
patient worsening hypoxia ill feeling,1
chronic memory loss,1
little weaker fatigued,1
little foggy memory,1
left-sided weakness specifically left leg,1
new vision speech changes,1
known sick contacts,1
known recent illness,1
mild postnasal drip,1
symptoms illness,1
urinary frequency,1
wounds,1
cardiac history,1
blood clotting bleeding disorders,1
kidney disease,1
febrile tachycardia,1
mildly elevated lfts,1
lll mass,1
patient flipped afib rvr,1
reduced hearing right ear,1
lie elevate feet,1
heart burn bones,1
chronic cor pulmonale,1
tired short breath,1
dyspnea exertion orthopnea,1
increasingly short breath,1
extremely short breath,1
known exposure covid-19 illness,1
change taste smell,1
mid lower lung opacifications bronchopneumonia,1
interstitial pulmonary edema,1
trace left pleural effusion,1
asthma attacks,1
severe painful stomach cramps,1
peripheral vision left eye,1
peripheral vision,1
paracarditus inflammation lungs,1
plura-paracarditus,1
infections,1
pain throat chest,1
quick sharp pains throat,1
lips tongue swelling,1
generalized fatigue weakness diarrhea,1
hypoglycemic,1
sample contaminated 13 squamous cells,1
moderate leukocytes,1
small blood 100 white blood cells,1
true urinary tract infection,1
asymptomatic bacteriuria,1
swollen chest area,1
flushing itchy throat,1
redness site,1
swelling way hand,1
lightheaded pain left ear,1
carotid artery stenosis,1
hls,1
chronic cough chronic nausea,1
increased lethargy uncoordinated,1
cxr interstitial/alveolar densities,1
factor v leiden,1
right diaphragmatic paralysis,1
remote cva,1
residual right-sided weakness dysphagia,1
progressive generalized weakness falls,1
loss taste smell dyspnea,1
persistent congestion recurrent falls,1
head trauma loc,1
neck large lymphnode size,1
rubbing site,1
mild cognitive impairment,1
abdominal discomfort loss appetite,1
abdominal discomfort across abdomen,1
short breath coughing,1
occasional hives,1
cyclical fever,1
orthostatic dizziness,1
decreased po intake,1
lower extremity pain swelling,1
parathedias,1
overcome cold sweats,1
sat cold sweats,1
cough severe,1
occasional vomiting,1
weakness headaches,1
reactive,1
acute bacterial pathology,1
present back er symptoms,1
ulcerative proctitis,1
frequent bowel movements,1
new bleeding/ clotting defecating,1
low grade fever headache,1
continued excessive fluid intake,1
little back pain,1
little tired back pain,1
pale skin color,1
bruising injection site,1
inflamed veins left chest,1
arm tenderness,1
lasix volume overload,1
severe throat inflammation ( non-airway obstructing ),1
difficulty talking swallowing,1
history ovarian cyst,1
aggressive fatigue,1
mouth ulcer,1
pretty painful,1
low grade fever day,1
loopy,1
little fatigue lingering headache,1
backache,1
adverse reactions time,1
severe vertigo lingered chronic feeling motion sickness nausea,1
suspicious abnormalities,1
chronic vestibular migraine,1
sneezes,1
lazy,1
vaccination joint,1
colon cancer,1
aortic valve stenosis,1
history slutsky 's ring hypertension,1
12 pound weight loss,1
advanced dementia,1
ed staff abdominal pain,1
mucoid opacification,1
central segmental bronchi within right lower lobe patchy peripheral airspace infiltrate throughout right lower lobe minimal infiltrate posterior right lobe,1
infectious pneumonitis,1
whole body joints pain,1
increased shortness breath exertion,1
mild chf persistent bibasilar atelectasis,1
ith cold symptoms,1
tired weak,1
bad severe headache,1
sharp stabbing pains,1
stones,1
arm sore red spot bump skin,1
generalized lower abdominal pain,1
intense vomited,1
19 pnuemonia,1
rul opacity,1
hep c homless,1
increased shortness breath episodes,1
wheezing cough,1
bhl copd exacerbation,1
lower extremity swelling,1
coughing choking episodes,1
pulmonary venous hypertension,1
ble weakness,1
mild course fatigue,1
minimal shortness breath,1
severe swelling left armpit,1
coupled pain,1
cold like congestion,1
cough total loss smell,1
heavily swollen lymph node,1
arm pit swollen,1
pain radiating left breast,1
cough/congestion/soa,1
f/c,1
esophageal motility radiation non-hodgkin 's lymphoma,1
acute hypoxic respiratory failure cough,1
congestion covid,1
"left side arm , hand , leg , foot turn red",1
throbs/painful,1
may-thurner syndrome,1
sickle cell disease,1
nonspecific enteritis,1
partial intermittent small bowel obstruction,1
pressure worsened intensity,1
constant chest pressure,1
pericarditis pericardial effusion,1
stomach erosion,1
colchicine pericarditis,1
full resolution symptoms,1
patient clammy pale,1
3 blood clots left lung,1
pain extending left elbow,1
severe chest back pain,1
anterolateral wall motion abnormalities,1
sinus rhythm marked t-wave abnormalities anterior lateral precordial leads,1
active medical problems,1
takotsubo cardiomyopathy,1
acute cardiomyopathy,1
acute takotsubo cardiomyopathy,1
random muscle spasms,1
painful cramping,1
"spasms hands , calves , thighs back",1
type muscle cramping,1
c/o headache throat pain,1
decrease appetite fluid intake,1
spike fever,1
vomiting aches pains,1
gestation fever,1
fatidue,1
significantly increased tinnitus,1
tingling arm,1
numb areas elbow,1
weak body aching body tingling,1
upper back shooting pains,1
arm paint different spots,1
sharp needle pains,1
severe full body sunburn,1
antihistamine symptoms,1
second dose arm pain fatigue,1
fever swollen lymph nodes left armpit,1
body aches development hives arms,1
legs upper chest well fatigue,1
vaginal ulcer,1
necrotic,1
enough pain,1
basically entire upper left quadrant chest cavity severe pain,1
allergic component,1
previous cancer issues,1
15 minute seizure,1
lost appetite,1
symptoms shingles,1
"hives abdomen , arms",1
redness l arm,1
discomfort rash,1
progressively increased joint pain,1
small tear muscle left,1
exact reaction,1
another pain,1
tingling head,1
heart racing diarrhea,1
slight numbness injection site,1
related needle size,1
left clinic symptoms,1
flu like symptom headaches,1
pulsating sensation outer-upper-left side left calf,1
increasing numbing sensation arm mild lightheadedness,1
hypoglycemia cramping,1
progressively worse severe left calf pulsation area,1
calf tightness new burning sensation outer side left heel,1
moderate dizziness,1
heart pounding chest systemic burning sensation blood rushing lower extremities,1
blood burning veins,1
hazy finally arms legs,1
limp,1
still moderately dizzy,1
orthostatic hypotension tachycardia,1
moderate severe headaches fever,1
hand swelling,1
inflamation,1
reactive protein high,1
facial edema,1
intractable vomiting nausea,1
severe hypertension,1
dizziness/,1
severe muscle cramping joint pain,1
numbness left side face left side,1
patient poor appetite,1
severe acute chronic hyponatremia,1
siadh setting,1
recent covid-19 infection,1
siadh,1
headache severe earache right ear,1
severely ill,1
severe rash formed eyelids,1
freezing temperatures,1
eyelid rash,1
spotting ( menstrual ),1
pt copd chronic dyspnea,1
squamous cell lung cancer,1
acute chronic microcytic anemia,1
tinnitus shot,1
adverse events outcomes,1
extreme tachycardia,1
fact myocarditis elevated bp side effect vaccine,1
lot dizziness,1
chest pain pain entire left arm,1
swollen joints,1
hard walk inflammation,1
coffee ground emesis,1
known covid infection,1
febrile general malaise,1
severely dehydrated metabolic acidosis,1
vaginal bleeding contractions,1
ag metabolic acidosis,1
starvation ketoacidosis,1
covid-19 related gastroenteritis.,1
covid+ metabolic acidosis,1
secondary starvation ketoacidosis,1
signs labor,1
client slightly bleeding injection site,1
noticeable hair loss shower,1
unresponsive facility,1
agonal respirations,1
bilateral pulmonary embolisms,1
right-sided facial droop,1
hemorrhagic stroke,1
tired night sore left arm,1
"chills pain arm , left arm left arm",1
arm said hmmm,1
cellulitis reaction,1
shortness breath heart palpitations,1
cellulitis redness,1
redness injection arm well underarm left breast,1
somewhat confused,1
somewhat weak modest shortness breath,1
occasional dry cough significant sputum production,1
drenching sweats,1
new worsening lower extremity edema,1
significant diarrhea,1
hypothyroidism numerous medical conditions,1
diaphoresis hypoxia,1
bilateral lower lobe infiltrates,1
superimposed bacterial infection,1
discharge acute metabolic encephalopathy,1
systemic bacterial infection,1
subdural hygroma,1
early dementia,1
altered,1
trace bilateral lower extremity edema,1
levothyroxine anemia,1
bleeding d-dimer,1
night seizure ( seizure free,1
major aches ( body ),1
another seizure,1
byproduct seizure,1
