Disease_ncbi,Frequency_ncbi
false heart attacks,2
numbness ; memory issues,1
neurological deficits,3
`` nurtec allergy ``,1
`` topamax allergy ``,1
`` stroke,3
`` tachycardia ``,2
`` numbness ``,5
`` neurological deficits ``,2
`` false heart attacks ``,1
`` pain,2
diffused joint muscle pain,1
`` hyperlipidemia ``,2
adhesive tape - rash ``,1
ambien cr taken sleep disorder,1
pneumococcal 13-val conj vacc ] - rash,1
`` muscle joint pain ``,1
`` headache `` `` muscle joint pain ``,1
thyroid `` lupus erythematosus,1
covid ``,3
cyanosis,5
`` nose drippy ``,1
upper-airway cough syndrome,1
nose drippy,1
niece epilepsy,1
upper airway cough syndrome,1
hepatic failure,2
`` arthritis/arthritis,1
swollen hands humira,1
humira,1
renal failure liver failure,3
lethargic,3
vomiting swollen hands humira,1
liver failure,1
ill,1
indomethacin arthritis,1
renal liver failure,1
ill vomiting,1
renal kidney failure,1
`` liver failure,1
`` iron deficiency anemia,1
covid 29dec,1
dizziness fatigue,2
runny nose 31dec,1
cardiac discomfort,4
`` preeclampsia ``,1
nephrolithiasis,4
kidney enlargement,3
`` enlarged kidney ``,1
`` arm swelling ``,1
`` small pulmonary embolism ``,1
haemorrhage urinary tract,3
dvt - deep vein thrombosis,1
dvt - deep vein thrombosis ``,1
`` left leg swollen ``,2
`` left leg hard `` ``,1
dvt-deep vein thrombosis,1
hx tinnitus,1
tinnitus palpitations,1
periodic headaches,1
thigh pain,1
periodic headaches ``,1
fatigue chest discomfort,1
swelling discomfort,1
headaches/,1
covid severe asthma,1
`` chronic urticaria ``,1
rash pruritus,2
benadryl xyzal urticaria,1
congestion `` `` body aches,2
`` gi cancer ``,1
`` ulcer ``,1
covid infection ``,5
stuffy nose sore throat,2
stuffy nose sore throat ``,1
pain extremity arthralgia,1
`` minor muscle pain,1
muscle pain ``,1
runny nose ``,2
`` chills ``,1
`` internal burning sensation ``,1
tinnitus headache,1
axillary pain swelling,2
chest pain headache,2
cold sweats,1
y/o pmhx cardiomyopathy,3
breast ca,3
cxr acute disease,3
high pitched tinnitus,1
postmenopausal uterine bleeding,1
rash hands,1
irritated eyes,2
muscular discomfort,2
sudden deafness right ear,2
multiple sclerosis neurological disorders,1
lightheaded syncope,1
narrow complex tachycardia,1
atypical chest pain,1
numbness/tingling bilateral arms & legs,1
body weakness aches,1
radiated left scapula shoulder joint,1
lingering arm pain,1
servere headache,2
swelling pain fingers knees,2
rash back neck,1
paleness sweating,1
blurry white vision,1
"nausea , ringing right ear",1
bronchospasm,1
backpain,1
heartrate chest pain,1
upper left shoulder,1
weakness point tremor,1
brachial neuritis,1
lower left abdominal pain,1
pain left shoulder back,1
"debilitating migraine right side head ran head , eye right cheek , ear",1
faciobrachial seizures,1
bcg scar inflammation,1
shakes,1
intermittent heart palpitations,1
sciatica back ankle,1
wife stroke,1
pain hip clavicle,1
pericarditis myocarditis,3
sleep apnea,7
muscle neuropathy,3
cmt disease,3
bilateral pulmonary embolism,2
swelling arm injection,1
croupy cough,1
r/o myocarditis,1
c/o body pain,1
anterior chest pain,1
covid infection monday,1
fam hx long qt syndrome,1
psoriatic arthritis raynauds,1
vitiligo,2
fever dizziness muscle pain fatigue headache,1
c8 peripheral neuropathy,1
pain myalgia,1
sharp pains/cramp,1
dizziness lightheadedness,3
nausea vomitting,1
forehead neck,1
pain swelling calf worsening,1
dvt right peroneal vein,1
nonocclusive thrombosis,1
pulmonary embolism cta,1
right lower extremity pain swelling,1
lightheadedness dizziness,2
"pmr poly mialga rhumatica severe shoulder , arm , wrist , knee , thigh , neck hips back pain",1
left sided cervical lymphadenopathy,1
serous draining erythematous lesion,1
figured asthma,1
chest congestion pain,1
tachypnea hypoxia,1
lymphopenia,1
pain swelling,8
soreness shoulder,1
myositis,1
1/5/22 cough,1
miocarditis,1
tuberculosis infection s/p right lobectomy,1
pleuritic chest pain,5
reticular opacities,1
infection scarring,1
left sided bells palsy,1
constrictive pericarditis,1
hearing muffled,1
pleuritic positional pain precordium,1
sudden brain hemorrhage,1
chronic,1
intarcranial bleed,1
coma,1
left hip inflammation,1
right knee pain,3
stomach pain back pain,1
ear aches headache,1
headache loss breath joint pain,2
disease,1
nausea abdominal pain,2
nasal drip weakness,2
arm soreness,2
vomiting weakness,1
blurred vision loss consciousness,1
stomachache,2
facial symptoms sinuses burning,1
teeth aching,1
renal insufficiency,2
er c/o increasing weakness,2
right side facial paralysis,1
"painful headache entire right side head , face neck",1
debilitating pain,1
nausea diarrhea,1
intestinal pain,1
hypoglycemic seizure,2
blisters,3
itchy painful toes,3
pain axilla,1
"pain left arm , left breast , neck/jaw/ear left upper back",1
throbbing headaches,1
nasal discharge itching,1
systolic heart failure,1
pain left shoulder,1
dyspnea fatigue,1
lymphocytic infiltration,1
cysto,2
lacerations due rash,1
covid in-patient,10
ed c/o fever,2
stabbing burning eye pain blindness,1
total body pain headache,1
numbness left foot leg,1
knee right leg,1
menstrual migraines,1
menstrual migraine,2
brain hemorrhage,1
cholesteatoma left ear,1
cholesteatoma,1
numbness lower jaw upper scalp,2
26th splitting headache,1
hyperventilation,1
viral pneumonia,1
muscle neck pain,2
11pm vomiting,1
vomiting headache,1
left eye sclera swelling redness,1
excessive nose bleed,1
joint pain neck,1
vertigo sensation,1
meclizine nausea,1
heart palpitations heart fluttering sensation,1
injection site swelling,3
eye redness dryness,2
left facial numbness,2
irregular heavy menstrual bleeding,2
bruising lower extremities,2
coughing dark phlegm,1
achey joints,1
sleeping acid reflux nausea vomiting,1
pain weakness headache,1
bilateral subacute nonocclusive segmental subsegmental thromboemboli,1
presyncope,2
"pain around sternum , burning pain sides neck",1
chest pain ocations,1
body urticaria,1
swelling jowls,1
lips redness lower legs swelling legs ankles,1
paroxysmal atrial fibrillation,4
herpes simplex,3
nose lip,1
acute thoracic aortic pathology,1
pneumothorax pleural effusion,1
right upper back pain,2
diffuse pruritis,1
injuries headache,1
gastric emptying,1
left facial tics,1
tics,1
swelling spasm left side neck,1
"swollen , red upper right eyelid",1
tylenol pain,3
headache arm pain,1
eyelid,2
neuropathy feet thighs,1
weakness 2,1
erectile dysfunction,4
alopecia areata november,2
numbness arm,1
hand tremors,1
cold hands & feet,1
super heavy headache,1
pimple style rash,1
lower extremity weakness,2
multiple sclerosis steroid-induced myopathy,1
severe body ache,1
ipsilateral axillary & supraclavicular lymphadenopathy,1
"weakness , loss appetite",1
left arm pain shoulder elbow difficulty lifting arm,1
swollen lips eyelids,2
swollen eyelids,1
acute pleural pulmonary diseases,1
tremor left hand arm,1
fluttering heart,1
12/18/2021 shortness breath leg swelling,1
enlargement heart,1
diarrehea,1
nausea vomiting headaches vertigo dizziness,1
insulin-dependent diabetes,1
pityriasis rosea rash,1
bilat hands knees ankles,1
pain rash,1
ear ache right ear,1
axillary swelling pain,1
bloated abdominal discomfort,1
fever pain,2
marginal zone lymphoma,1
left eye allergic reaction swollen left eye cheek,1
respiratory failure covid pneumonia,3
nausea light headedness,1
narrowing pulmonary arteries focal narrowing lll bronchus lymphadenopathy,2
left pleural effusion sepsis,1
left lower lobe pneumonia dyspnea,1
metastatic poorly differentiated carcinoma,2
renal primary deficiency anemia hypertension,2
acute hypoxic respiratory failure dyspnea,1
narrowing pulmonary arteries focal narrowing left lower lobe bronchus lymphadenopathy,1
left pleural effusion metastatic poorly differentiated carcinoma,1
carcinoma,2
metastatic pulmonary nodules,3
hilar mediastinal lymphadenopathy,3
osseous metastases,3
thoracic spine ribs,3
zeeland hospital sepsis,2
malignant airway obstruction,1
1st dyspnea,1
effusions,1
sepsis dyspnea pleural effusion,1
bulky mediastinal hilar metastatic lymphadenopathy,1
narrowing left greater right pulmonary arteries,1
acute embolus,1
compressive atelectasis,1
left pleural effusion focal narrowing lll bronchus lymphadenopathy,2
2l sepsis,1
lll pna - tachycardia,1
sore throat tinnitus,1
leg swelling palpitations,1
abdominal distention,2
constipation diarrhea,3
back pain flank pain,1
numbness paresthesias,1
upper airway wheeze,1
pfizer,1
sensation sweating,1
tingling lips chin,1
dizziness paleness,1
unilateral swelling upper eye lid left eye,1
01/10/2021 left arm pain,1
`` lump `` swelling left side collarbone,1
weakness cough,1
swelling left arm left knee swelling,1
nauseousness,1
abdominal pain nausea,1
lle dvt hyperglycemia,2
cancerous tumor,3
lymphadenopathy lymphedema,1
lymphadenopathy/lymphedema,1
mastitis left breast 12/23-12/24,1
breast side lymphadenopathy,1
infection edema,2
cardiomegaly vascular congestion,4
j96.01 ] pneumonia,1
gentleman chronic respiratory failure,1
seroquel type 2 diabetes mellitus,1
bipolar,1
osa cpap,1
vascular congestion bilateral perihilar opacifications,1
tingling upper lip,1
intermittent numbness,1
acute vertigo,1
c/o fatigue weakness,1
arrhythmia hypotension,1
pain head toes,1
upper back neck migraine-type headache,1
lower back hips,1
pain left arm pit,1
respiratory dyspneic symptoms,1
irretractable migraine,1
petechiae mouth blood blisters,1
irritable,2
polyps,3
hypokalemia,5
pain lateral fingers,1
ice-pick headache,1
complete loss balance numbness face left fingers,1
toes right foot,1
"left hand worst , right hand , right foot",1
left foot,1
chest pain 12/31/21,1
lymphatic swelling arm breast tissue swelling side fever,1
headache cough,1
skin itching,1
itchy throat,3
stroke-no chest pain,1
terrible cough,1
pain bicep forearm,1
inner bicep left thumb,1
l hip pain,1
limp complaint pain,1
pain walking limp,1
liposarcoma,6
retroperitoneal liposarcoma,3
cholecystectomy right nephrectomy,3
rectal bleeding,3
trace left pleural effusion,3
perihepatic ascites,3
hematochezia,6
anemic,3
thrombocytopenic,3
sore throat possible cough,1
lethargic w/increased weakness,1
pt massive weakness failure,1
ros,1
"swollen right upper arm , axillary neck",1
swollen lips,2
swelling left armpit,4
swelling fatigue,1
top l side lip swelling,1
ed headache,1
petechiae,1
bleeding abnormalities,1
tendinitis,1
granulomas,1
parsonage turner syndrome,2
tendons inflammation,1
pfizer vaccine disease disorder,1
pfizer arthritis,1
fever body aches,1
swollen left side neck shoulder,1
pain upper right back/lung pain,1
shoulder,1
debilitating joint muscular pain,1
ok vomiting diarrhea,1
dizziness denies back pain,1
"congestive , fatigue , body ache",1
right ankle pain,3
hx htn rheumatoid arthritis,3
ankle pain,6
mumbled pt dry mouth,1
`` anxiety,1
hyperlipidemia borderline personality disorder,1
schizophrenia,3
developmental delay,1
emergency due generalized malaise,1
leg cramping,1
generalized malaise cough,1
schizoaffective disorder,2
medical hx pneumonia leukemia,3
chills cough,1
c/o sob,4
axillary lymphadenopathy,4
pneumonia due covid,3
pain shoulder neck,1
d/t sob weakness,1
awful cough,1
back anemia,1
tachycardia ischemic heart disease,1
w/ numbness,1
head ache,5
wekness,1
12/14/21 left arm pain,1
radiculopathy pain numbness,1
t4-t5 radiculopathy,1
left-sided dermatomal pain,1
covis + sob diarrhea,1
pain ribcage,1
ed ambulance generalized weakness,1
fever chills,3
expressive aphasia dysarthria,1
focal paresthesias weakness,1
raynaud 's syndrome left ring finger,2
ams @ 0700.,1
nausea vomiting abdominal pain,1
headache light rash,1
left eye swelling pain,1
right sided temporal headache,1
kidney stones - 1 right kidney 1 distal right ureter,3
hacking cough,3
ticklish throat,3
bilateral hip pain,1
avascular necrosis hips,1
stroke symptoms.history,3
speech deficit,6
hypercholesterolemia,5
bladder cancer hypertension,3
bladder cancer anxiety,3
mri head,3
acute stroke,6
nih stroke,3
speech problems,3
speech problems right-sided weakness,3
weakness speech problems,3
1/5-1/10 multiple subsegmental pulmonary embolism,3
right upper right lower extremity weakness,6
decreased sensation right upper right lower extremity,3
cta head neck,3
weakness right side 2,3
vessel occlusion,3
atherosclerosis,3
injury left hip,3
r/o r brain stroke,3
severe dementia,3
yesterday generalized weakness,3
asymmetrical weakness,3
left side extremities,3
light headache,1
radiates right arm forearm,1
pruritic papular rash,1
hx rash,1
"joints ached , muscles ached",1
runny nose coughing,1
deep bone pain,1
sob difficulty breathing,2
sinus congestion headache,1
weakness tiredness,1
breathing difficulty,1
immobile due weakness,1
liq tylenol sips,1
axillary lymph node edema,1
peripheral vascular disease,2
acute unilateral parotitis,1
broke ankle knee joints,1
ischemic strokes,2
charlie horse cramp left foot calf muscle,2
cramps left leg foot,2
6/5/2021 right lower quadrant abdominal pain,1
itchy rash neck head,1
itchy rash torso,1
34w0d fever,1
dysuria hematuria,6
pain abdomen,1
demyelination slurred speech,1
nasal chest congestion,7
headached,3
excruciating stomach pain,1
swollen optic nerves,1
numbness throat,1
`` lips numb swelling,1
benign paroxysmal positional vertigo,1
head dizziness,1
sharp pain left arm pit,1
"spasm left chest pain wrapped sternum , left breast near shoulder",1
`` heart burn,1
1/1 - 1/4 - left-chest pain,1
aneurism/embolism,1
pain left side neck behind jaw,1
left-chest pain,1
chest pain heart fluttering,1
tiredness hypersomnia,1
eczema herpetic whitlow,1
cellulitis middle finger left hand,1
dizzy nausea blurring vision,1
tingling arms legs,2
numbness legs,2
multi myalgia rheumatica,3
hair loss,2
burning legs,1
facial swelling left side face,2
`` hypertansion ``,1
`` fatigue,1
periarthritis,2
acne pustular,1
`` antiphospholipid syndrome ``,1
antiphospholipid syndrome,1
`` chronic maigrain ``,1
excruciating ) continuous headache dizziness,1
`` hypothyroid,1
np thyroid taken thyroid disorder,1
achy little bit headache,1
jaw ``,1
"shoulder , elbow , wrist",1
jaw burning breast,1
excruciating pain,3
rotator cuff issue/aching right shoulder/aching right shoulder,1
sporadic joint /muscle pain right hip better hip moving ankle foot,1
arthritis pain,4
sprain,3
charley horse/thigh muscle would spasm,1
knee ankle joints,1
right sided joint muscle pain,2
severe right sided joint muscle pain/ sporadic joint /muscle pain right hip better hip moving ankle foot,1
`` severe right sided joint muscle pain,1
right sided joint muscle pain/ sporadic joint /muscle pain right hip better hip moving ankle foot ``,1
`` severe right sided joint muscle pain ``,1
rotator cuff injury hip,2
rotator cuff issue/aching right shoulder/aching right shoulder ``,2
`` sporadic joint /muscle pain,1
hip moving ankle foot ``,1
ligament sprain,3
sprain ``,1
charley horse ``,1
joint dislocation,2
ankle pain ``,1
`` excruciating pain,1
tight burn ankles knees,1
bruising feet went legs wrists,1
indian burn,1
left arm swelling,3
`` left arm pain ``,3
`` left arm swelling ``,1
`` light diarrhea ``,1
left arm pain left arm swelling,1
lesion ankle,1
muscle joint cap pain,2
ankle swelling,1
`` lesion ankle ``,1
`` ankle swelling ``,1
`` muscle joint cap pain ``,1
excruciating left foot/ankle & shin electrical nerve shooting pain,1
left hip lower back pain,2
left leg ankle joint weakness,1
myoclonic limb jerks,1
`` severe left hip lower back pain ``,3
`` left leg ankle joint weakness ``,1
myoclonus,2
`` myoclonic limb jerks ``,2
excruciating left foot/ankle & shin electrical nerve shooting pain ``,1
`` entire body muscle twitching,1
`` left leg ankle joint weakness,1
axillary lump,1
`` axillary lump ``,1
right arm itching rash,1
sinus infection,12
sickness anxiety,1
sinus infection ear infection,1
tooth fracture,1
vomiting joint pain,1
explosive diarrhea,1
"covid , sinus infection ear infection",1
severe whole body rash,1
left armpit pain,1
`` severe whole body rash,1
itchy ``,3
`` left armpit pain ``,1
overweight,2
bad tiredness aches pains,1
`` foot pain ``,1
scratchy throat mild congestion,2
malodorous flatulence,1
malodorous flatulence ``,1
`` acute appendicitis,2
`` abdominal bloating ``,1
feeding disorder,3
`` heart attack,1
`` meniere 's syndrome ``,1
meniere 's syndrome inner ear,2
sensation back throat,1
burning/warm sensation back throat,1
`` pain leg hand ``,1
`` puffiness redness ``,1
pain leg hand leg painful,1
/throbbing headache,2
parkinson ; trembling bad ; stiff neck shoulder muscle/shoulder neck,1
shoulder neck,2
`` stiff neck shoulder muscle/shoulder neck,1
`` shoulder neck,1
ruptured brain aneurysm,1
`` celiac ``,1
celiac ; `` non ischemic tachyarrhythmia dilated cardiomyopathy ``,1
ischemic tachyarrhythmia dilated cardiomyopathy,1
`` lower back ``,1
levothyroxine taken balance disorder,1
celiac,2
pepto-bismol nausea,1
nauseous/nausea,1
`` nauseous/nausea ``,1
`` stiff neck ``,1
`` leukemia,2
leukemia,4
bad headache right side head right eye,1
head right eye ``,1
hypokalaemia,1
`` thyroid problems ``,1
`` acid reflux,1
esophageal ) ``,1
`` fatty liver ``,1
heart trouble,1
thyroid problems,1
muscular pain,1
oral pruritus,2
nauseous,6
eating disorder,3
`` crohn 's disease ``,1
methotrexate,1
eye allergy,1
`` allergy-ish eyes ``,1
`` sinuses ``,1
`` hypertension,1
muscle pain nausea,1
`` body pain ``,2
`` hyperuricemia ``,1
hyperuricaemia,1
`` vertigo dizziness ``,1
nauseous headache,1
`` stent ``,1
`` severe chest pain ``,1
`` head problems ``,1
`` arm soreness ``,1
deep venous thrombosis right lower extremity,1
deep venous thrombosis right lower extremity ``,1
venous thrombosis right lower extremity ``,1
deep vein thrombosis rx eliquis,1
upper respiratory tract infection,2
sudden bell 's palsy,1
`` von willebrands disease ``,1
`` thyroid disease ``,1
`` sudden bell 's palsy right side face ``,2
aortic valve disease,2
`` athsma ``,1
hypersensitivity ``,1
erythema cold urticaria,1
dx acute kidney injury,1
myalgias arthralgias,1
splotchy itchy rash shoulder,1
pfizero rhaumatoid arthritis disease,1
"nausea , legs feet swelling",1
subdural hemorrhage,1
w/ covid,20
feverish fever,1
itching rash,1
pulmonary embolism infarction,1
lip tingling,1
congestion head nose,1
burning itching,1
acute cystitis hematuria,1
polio,1
lateral third ventriculomegaly,1
interstitial edema/transependymal csf,1
emesis,5
fever dehydration,2
loss eye sight,1
saturday - asthma,1
eyeballs burning,1
itch rash,1
headache lingering - fatigue,1
cpap,2
diabetic neuropathy,2
er complaints cough fever,2
hyperglycemia steroids dgms,2
c/c tachycardia,1
component myocarditis pericarditis,1
right-sided hemiparesis expressive aphasia,1
lethargy hypotension,1
hx stroke aphasia,1
chest pains headache,1
loss hearing,1
ringing right ear,1
swelling lip lower lip,1
rash torso/abdomen got uti,1
shingles rash,2
afib rvr,3
neutropenic,1
spasm type pain,1
deltoid muscle pain,1
anorexia,3
inappropriate sinus tachycardia,1
left extremity weakness,1
anxiety uncontrollable mostly hand arm intention tremors,1
anxiety intention tremor,1
breathless tired headache,1
shot eye injury,1
runny nose muffled hearing,1
bilateral lower extremity dvt,1
branch retinal vein occlusion,3
abdominal/chest pain,3
chills headache,1
petechiae purpura legs feet including soles feet,2
henoch-schonlein purpura,2
pain & swelling,1
neck causing weakness,1
nystagmus,1
inflammation pain thumb joint,2
thumb,2
hypoxic,3
sore throat wheezing,1
numbness / tingling / extreme weakness legs,1
edema right ankle,1
brain tumor,5
craniopharyngioma,1
blurred vision/vision,1
focal deficits,1
shortness breath/cough,1
ruptured sebaceous cyst left side face,1
pain trunk right lateral trunk,1
chronic left wound hip,1
chronic combined systolic diastolic congestive heart failure,4
proximal atrial fibrillation,2
chronic respiratory failure hypoxia,3
chronic low back pain,2
left ventricular hypertrophy,2
cardiopulmonary disease,1
aortic valve insufficiency,1
cardiac valve disease,1
iron deficiency anemia,4
mitral valve disease,1
chronic right hip pain,1
prediabetes,10
sebaceous cyst,1
coronary artery calcification,1
stenosis right carotid artery,1
multiple thyroid nodules,1
sick sinus syndrome,2
rhinorrhea sore throat,4
back pain joint pain,1
tenderness signs injury,1
erythema rash,3
alzheimers dementia,1
autoimmune flares,1
hypothyroidsm,1
syncope dizziness,1
fahrenheit,2
right leg pain swelling,1
diareah,1
painful red rash nerve pain,1
vomitting dehydration,1
paresthesia left upper extremity,1
cxr cardiomegaly,1
aki/ckd,1
fatigue lumps,1
sudafed incase congestion,1
hearing left ear,1
hearing loss left ear,1
sudden hearing loss,1
acoustic neuroma,1
dry eyes,2
floaters,2
acute covid-19 pneumonia,2
ruq pain,1
campylobacter infection,3
intractable migraine leg arm weakness,1
intractable migraine encephalomyelitis,1
vision hearing balance speech problems,1
miralax constipation,1
fever weight loss,2
sinus pressure sore throat,2
hemoptysis,6
chest tightness,12
wheezing stridor,2
abnormal hematuria,1
flushing pain joints,1
congestive chest nose,1
weakness fever,1
pmhx membranoproliferative glomerulonephritis,1
aortic stenosis,5
rib fracture,1
runny nose & congestion,1
headache seizure,1
tinnitus ears worse right ear,1
internal arm pain,1
arteriosclerotic coronary artery disease,1
face swelling,1
c/o lightheadedness dizziness,1
acute chronic diastolic congestive heart failure,1
neck upper back pain,1
verbalized hx sulfa allergy,1
er 12/17/2021 respiratory failure,1
chronic urticaria angioedema,1
stomah pain,1
pulmonary htn,3
soreness arm,1
c/o loss consciousness,1
nausea & vomiting,1
oropharyngeal exudate posterior oropharyngeal erythema,1
confusion hallucinations,1
lung pain inflammation,1
sinus pressure head ears,1
allergic rhinitis vitamin deficiency,2
nausea headaches,1
1/9/22 left leg hematoma,2
choking stridor,2
palpitations leg swelling,4
numbness left jaw,1
anti-arrhythmia,1
asthma type symptoms,1
trigeminal neuralgia,2
phonophobia,1
uri symptoms,1
diarrhea vomiting,1
allopecia areata,1
numbness paresthesia,1
sensory ataxia,1
ophthalmoplegia,1
areflexia,1
facial nerve weakness,1
pain/tenderness,1
acute myocarditis,2
calf pain,2
leg numbness,1
outer thigh leg pain,1
boils/abscess buttocks,2
erythematous swelling 0.5 cm border erythema,1
protruding swelling,1
paf anti coagulation,1
nonischemic cardiomyopathy,1
bibasilar infiltrates,1
"angioedema lips , left hand soles bilateral feet",1
shoulder pain right shoulder vaccine,1
adhesive capsulitis,1
arm leg pain,1
extrinsic asthma,1
allergic rhinitis,3
myalgias malaise,1
c/o nasal congestion,2
visual disturbance,2
palpitations gastrointestinal,2
skin lesions,2
dizziness syncope,2
sacroiliac pain tenderness,1
gluteal pain,1
hallucinating,1
"dehydrated , joint pain",1
arthritic tips fingers right hand toes right foot,1
sciatica neuropathy,1
arthritic joint pain,1
pain left hip joint,1
restroom pain,1
renal infarction,1
lower back pain scratchy throat,1
1/6/22 right sided weakness paresthesias,1
left lower lobe segmental branch,1
embolic stroke,1
mid distal left p2 segment,1
patent foramen ovale,1
pro-thrombotic/provoked oral contraceptive embolism,1
tumor left low part breast,1
invasive mammary carcinoma metastatic cancer,1
heart race chest pains,1
intermittent chest pain,3
intermittent spasms pain heart,2
right leg pain numbness,1
pain right ankle headaches,1
bursitis elbows pain swelling,1
loc head injury,2
ag metabolic acidosis lactic acidosis,2
encephalomalacia left left occipital lobes,2
cervical lumbar spine,2
101° fever,1
weakness numbness,1
postnasal drip,1
arthritis left knee,1
heaves,1
abnormal anxiety,1
bacterial super-infection,1
stiff joint pain,1
"shooting pain arm , neck",1
sudden death,2
jaw/tooth pain,1
abscess,1
hashimoto 's thyroiditis,1
depressive disorder,1
swallon gland left clavicle,1
eyelid swelling,1
shock septic shock,1
pmhx insulin-dependent diabetes,1
parkinson 's disease dementia,1
pleural effusions,2
dvts,2
pulmonology,2
amenorrhea,2
acute left popliteal deep vein thrombosis,3
chronic left pleural effusion,6
diffuse large b-cell lymphoma,6
ascites,4
6. hypertension,3
crohn disease,6
chronic back pain,3
transaminitis,3
dyspnea dizziness,3
gastric varices,3
nonocclusive left popliteal vein dvt,3
chronic thrombocytopenia,3
cytopenias,3
left upper quadrant splenic gastric varices,3
sudden complete hearing loss left ear,1
convulsed,1
seizures,4
pain liver,1
pain right side abdomen/pain right side belly,1
hepatomegaly,2
`` controlled hypertension ``,1
`` liver colitis ``,1
cardiac failure,3
`` tremors/trembling,1
`` excessive sweating ``,1
hepatic pain,1
`` pain liver ``,1
`` hepatomegaly ``,1
tremors trembling,1
pain liver right side abdomen,1
pain right side belly hepatomegaly,1
headache/ nasal congestion,4
runny nose/ fatigue,4
`` bulging disease ``,1
painful rash,2
gluten allergy ``,1
gluten allergy,1
`` itchy,8
`` `` rash,1
vaccination site rash,1
"eye swollen , right eye",1
eye swelling,2
`` rash ``,1
'muscle pain,1
`` anaphylactic shock ``,1
armour thyroid taken thyroid disorder,1
queasy/ nausea,1
`` joint pain,1
`` lower back pain,1
`` seafood allergy ``,1
underarm pain,2
underarm pain ``,1
`` neck pain,1
neck neck swollen,1
swelling right arm right side neck,1
ears itchy,1
gingival bleeding,1
oral mucosal blistering,1
inflammation extreme pain joints hands,1
clogged nose,1
isibloom,1
genetic/chromosomal abnormalities,1
firmness,7
fatigue headache,2
`` itching ``,1
pain/progressed body ache,1
chills myalgia/muscle ache,1
puffy red rash,1
pruritus claritin,1
psoriatic arthritis ``,1
`` crohn's/colitis ``,2
`` thyroid cancer ``,1
eyelid pain,3
left arm pain wrists,2
hcp numbness tingling,1
"swelling right side-face , arm , hand , leg",1
`` type ii diabetes mellitus ``,1
grave 's disease,3
`` grave 's disease ``,1
ruptured eardrum ``,1
`` head ache ``,1
forearms itchy,1
burning hands feet joints,1
`` guillain barre syndrome,2
`` pituitary adenoma,2
asthmatic anxiety,1
terrific headache,1
`` terrific headache,1
tylenol headache fever,1
cheast pain,1
olfactory neuroblastoma,2
mouth ulcers,1
pulmonary emboli bilaterally mild right heart strain,1
acute hemorrhagic cystitis,1
shortness breath dizziness,1
stomach pain cramping,1
testicular swelling,1
`` itching head toe ``,1
`` lung sarcoidosis ``,1
"pain , pain extremity",2
conjunctivitis eyes,1
conjunctivitis eyes ``,1
staphylococcal infection,2
covid staphylococcus aurous,1
urticaria angioedema,1
allergic reaction/,1
skin irritation,2
`` ulcerative colitis ``,2
`` lyme disease,1
swelling pain right armpit,2
`` swelling pain right armpit ``,1
swollen armpit mild pain,1
`` sickness ``,1
dizziness appetite,1
ill-defined disorder,1
infarction,3
`` hyperlipidaemia ``,1
pcn ``,3
`` infarction ``,2
numbness neck,2
face swelling numbness,1
`` chronic epstein barre ``,1
`` chronic vitamin iodine deficiency ``,2
`` acute abdominal pain,1
anorexic,1
emergency acute abdominal pain,2
`` sepsis ``,1
`` acne ``,2
panic reaction,1
`` reoccurrence prostate cancer,1
reoccurrence prostate cancer,1
"head , neck , face , arms , hands , neck , shoulder",1
hand deformity,1
numbness ; trouble putting arm,1
`` tourette syndrome ``,1
tourette syndrome,1
`` penicillin - trunk rash,1
penicillin - trunk rash,1
thyroditis,1
`` thyroditis,1
thyroid went hyper ; hyperthyroid ``,1
thyroiditis,2
upper respiratory problem,1
hearing damage,1
polycystic ovarian syndrome,1
pcos,2
coffee allergy penicillin allergy,1
`` polycystic ovarian syndrome,1
`` spinal stenosis,1
`` stress ``,1
back disorder,1
headache/tension headache/headache,1
white coat syndrome,1
white coat hypertension,1
abdominal pains,1
`` abdominal pains ``,1
bone disorder,2
`` lung sarcoid ``,1
lung sarcoidosis,1
sleep apnoea syndrome,4
arthritis teeming veins,1
neuropathy feet,1
`` chronic migraines,1
avocados ``,1
menieres syndrome,1
inner ear,1
`` menieres syndrome ``,1
pemphigus,6
mucous membrane pemphigus,1
pemphigus blisters,2
emergency room panic attack,1
sudafed heart palpitations,1
movement impairment,1
`` depression disorder,1
`` allergic walnut ``,1
`` insomnia,1
depakote taken mental disorder,1
wellbutrin taken mental disorder,1
zyrtek taken hypersensitivity,1
right arm pain,2
pain 2 fingers,1
eyelid irritation,1
`` eye lids puffy,1
`` autism spectrum ``,1
`` asperger 's disorder,1
appetite disorder,1
jumbled speech crying,2
` headache ``,1
`` thalassaemia ``,1
thalassemia anemia,2
`` heart murmur ``,1
bodyaches,1
`` bodyaches ``,1
sinus pressure headache,1
`` right side migraine ``,1
`` prediabetic ``,1
tinnitis,2
`` sore arm `` covax,1
muscular problems,1
`` mannose binding lectin deficiency,1
skin lesion,2
`` throbbing headache,1
migraine ``,3
hypertension ``,1
pain right arm,1
`` restlessness ``,1
`` pain skull ``,1
`` renal cell cancer,1
renal cell cancer,1
`` valvular heart disease ``,1
`` jaw pain ``,1
terrible diarrhea,3
stomach hurting hurting ended terrible diarrhea,1
upset stomach intermittent nausea,2
`` cancer - ovarian ``,1
difficulty lifting arm-moderate pain,1
indigestion,1
`` terrible diarrhea ``,1
stomach ``,1
